Annotation_Label,CL_Label,CL_ID,CL_Match
MHC-II-low non-classical monocyte,MHC-II-low non-classical monocyte,CL:0002472,
MHC-II-high non-classical monocyte,MHC-II-high non-classical monocyte,CL:0002473,
lymphoid MHC-II-negative classical monocyte,lymphoid MHC-II-negative classical monocyte,CL:0002474,
lymphoid MHC-II-negative non-classical monocyte,lymphoid MHC-II-negative non-classical monocyte,CL:0002475,
bone marrow macrophage,bone marrow macrophage,CL:0002476,
adipose macrophage,adipose macrophage,CL:0002477,
F4/80-negative adipose macrophage,F4/80-negative adipose macrophage,CL:0002478,
F4/80-positive adipose macrophage,F4/80-positive adipose macrophage,CL:0002479,
nasal mucosa goblet cell,nasal mucosa goblet cell,CL:0002480,
peritubular myoid cell,peritubular myoid cell,CL:0002481,
dermal melanocyte,dermal melanocyte,CL:0002482,
hair follicle melanocyte,hair follicle melanocyte,CL:0002483,
epithelial melanocyte,epithelial melanocyte,CL:0002484,
retinal melanocyte,retinal melanocyte,CL:0002485,
strial intermediate cell,strial intermediate cell,CL:0002486,
cutaneous/subcutaneous mechanoreceptor cell,cutaneous/subcutaneous mechanoreceptor cell,CL:0002487,
trophoblast giant cell,trophoblast giant cell,CL:0002488,
double negative thymocyte,double negative thymocyte,CL:0002489,
organ of Corti supporting cell,organ of Corti supporting cell,CL:0002490,
auditory epithelial cell,auditory epithelial cell,CL:0002491,
strial marginal cell,strial marginal cell,CL:0002492,
strial basal cell,strial basal cell,CL:0002493,
cardiocyte,cardiocyte,CL:0002494,
fetal cardiomyocyte,fetal cardiomyocyte,CL:0002495,
intraepithelial lymphocyte,intraepithelial lymphocyte,CL:0002496,
primary trophoblast giant cell,primary trophoblast giant cell,CL:0002497,
secondary trophoblast giant cell,secondary trophoblast giant cell,CL:0002498,
spongiotrophoblast cell,spongiotrophoblast cell,CL:0002499,
P enteroendocrine cell,P enteroendocrine cell,CL:0002500,
type D1 enteroendocrine cell,type D1 enteroendocrine cell,CL:0002501,
type M enteroendocrine cell,type M enteroendocrine cell,CL:0002502,
adventitial cell,adventitial cell,CL:0002503,
enteric smooth muscle cell,enteric smooth muscle cell,CL:0002504,
liver CD103-negative dendritic cell,liver CD103-negative dendritic cell,CL:0002505,
liver CD103-positive dendritic cell,liver CD103-positive dendritic cell,CL:0002506,
langerin-positive lymph node dendritic cell,langerin-positive lymph node dendritic cell,CL:0002507,
"langerin-negative, CD103-negative lymph node dendritic cell","langerin-negative, CD103-negative lymph node dendritic cell",CL:0002508,
"CD103-positive, langerin-positive lymph node dendritic cell","CD103-positive, langerin-positive lymph node dendritic cell",CL:0002509,
"CD103-negative, langerin-positive lymph node dendritic cell","CD103-negative, langerin-positive lymph node dendritic cell",CL:0002510,
"CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell","CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell",CL:0002511,
"CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell","CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell",CL:0002512,
Vgamma5-positive CD8alpha alpha positive gamma-delta intraepithelial T cell,Vgamma5-positive CD8alpha alpha positive gamma-delta intraepithelial T cell,CL:0002513,
Vgamma5-negative CD8alpha alpha positive gamma-delta intraepithelial T cell,Vgamma5-negative CD8alpha alpha positive gamma-delta intraepithelial T cell,CL:0002514,
interrenal norepinephrine type cell,interrenal norepinephrine type cell,CL:0002515,
interrenal chromaffin cell,interrenal chromaffin cell,CL:0002516,
interrenal epinephrin secreting cell,interrenal epinephrin secreting cell,CL:0002517,
kidney epithelial cell,kidney epithelial cell,CL:0002518,
interrenal epithelial cell,interrenal epithelial cell,CL:0002519,
nephrocyte,nephrocyte,CL:0002520,
subcutaneous fat cell,subcutaneous fat cell,CL:0002521,
renal filtration cell,renal filtration cell,CL:0002522,
mesonephric podocyte,mesonephric podocyte,CL:0002523,
disseminated nephrocyte,disseminated nephrocyte,CL:0002524,
metanephric podocyte,metanephric podocyte,CL:0002525,
CD14-positive dermal dendritic cell,CD14-positive dermal dendritic cell,CL:0002526,
immature CD14-positive dermal dendritic cell,immature CD14-positive dermal dendritic cell,CL:0002527,
mature CD14-positive dermal dendritic cell,mature CD14-positive dermal dendritic cell,CL:0002528,
CD1a-positive dermal dendritic cell,CD1a-positive dermal dendritic cell,CL:0002529,
immature CD1a-positive dermal dendritic cell,immature CD1a-positive dermal dendritic cell,CL:0002530,
mature CD1a-positive dermal dendritic cell,mature CD1a-positive dermal dendritic cell,CL:0002531,
CD16-positive myeloid dendritic cell,CD16-positive myeloid dendritic cell,CL:0002532,
immature CD16-positive myeloid dendritic cell,immature CD16-positive myeloid dendritic cell,CL:0002533,
mature CD16-positive myeloid dendritic cell,mature CD16-positive myeloid dendritic cell,CL:0002534,
epithelial cell of cervix,epithelial cell of cervix,CL:0002535,
epithelial cell of amnion,epithelial cell of amnion,CL:0002536,
amnion mesenchymal stem cell,amnion mesenchymal stem cell,CL:0002537,
intrahepatic cholangiocyte,intrahepatic cholangiocyte,CL:0002538,
aortic smooth muscle cell,aortic smooth muscle cell,CL:0002539,
mesenchymal stem cell of the bone marrow,mesenchymal stem cell of the bone marrow,CL:0002540,
chorionic membrane mesenchymal stem cell,chorionic membrane mesenchymal stem cell,CL:0002541,
vein endothelial cell,vein endothelial cell,CL:0002543,
aortic endothelial cell,aortic endothelial cell,CL:0002544,
thoracic aorta endothelial cell,thoracic aorta endothelial cell,CL:0002545,
embryonic blood vessel endothelial progenitor cell,embryonic blood vessel endothelial progenitor cell,CL:0002546,
fibroblast of the aortic adventitia,fibroblast of the aortic adventitia,CL:0002547,
fibroblast of cardiac tissue,fibroblast of cardiac tissue,CL:0002548,
fibroblast of choroid plexus,fibroblast of choroid plexus,CL:0002549,
fibroblast of the conjunctiva,fibroblast of the conjunctiva,CL:0002550,
fibroblast of dermis,fibroblast of dermis,CL:0002551,
fibroblast of gingiva,fibroblast of gingiva,CL:0002552,
fibroblast of lung,fibroblast of lung,CL:0002553,
fibroblast of lymphatic vessel,fibroblast of lymphatic vessel,CL:0002554,
fibroblast of mammary gland,fibroblast of mammary gland,CL:0002555,
fibroblast of periodontium,fibroblast of periodontium,CL:0002556,
fibroblast of pulmonary artery,fibroblast of pulmonary artery,CL:0002557,
fibroblast of villous mesenchyme,fibroblast of villous mesenchyme,CL:0002558,
hair follicle cell,hair follicle cell,CL:0002559,
inner root sheath cell,inner root sheath cell,CL:0002560,
outer root sheath cell,outer root sheath cell,CL:0002561,
hair germinal matrix cell,hair germinal matrix cell,CL:0002562,
intestinal epithelial cell,intestinal epithelial cell,CL:0002563,
nucleus pulposus cell of intervertebral disc,nucleus pulposus cell of intervertebral disc,CL:0002564,
iris pigment epithelial cell,iris pigment epithelial cell,CL:0002565,
dark melanocyte,dark melanocyte,CL:0002566,
light melanocyte,light melanocyte,CL:0002567,
mesenchymal stem cell of Wharton's jelly,mesenchymal stem cell of Wharton's jelly,CL:0002568,
mesenchymal stem cell of umbilical cord,mesenchymal stem cell of umbilical cord,CL:0002569,
mesenchymal stem cell of adipose tissue,mesenchymal stem cell of adipose tissue,CL:0002570,
hepatic mesenchymal stem cell,hepatic mesenchymal stem cell,CL:0002571,
vertebral mesenchymal stem cell,vertebral mesenchymal stem cell,CL:0002572,
Schwann cell,Schwann cell,CL:0002573,
stromal cell of pancreas,stromal cell of pancreas,CL:0002574,
central nervous system pericyte,central nervous system pericyte,CL:0002575,
perineural cell,perineurial cell,CL:0002576,
placental epithelial cell,placental epithelial cell,CL:0002577,
mesenteric preadipocyte,mesenteric preadipocyte,CL:0002578,
omentum preadipocyte,omentum preadipocyte,CL:0002579,
preadipocyte of the breast,preadipocyte of the breast,CL:0002580,
perirenal preadipocyte,perirenal preadipocyte,CL:0002581,
visceral preadipocyte,visceral preadipocyte,CL:0002582,
subcutaneous preadipocyte,subcutaneous preadipocyte,CL:0002583,
renal cortical epithelial cell,renal cortical epithelial cell,CL:0002584,
retinal blood vessel endothelial cell,retinal blood vessel endothelial cell,CL:0002585,
retinal pigment epithelial cell,retinal pigment epithelial cell,CL:0002586,
smooth muscle cell of the umbilical vein,smooth muscle cell of the umbilical vein,CL:0002588,
smooth muscle cell of the brachiocephalic vasculature,smooth muscle cell of the brachiocephalic vasculature,CL:0002589,
smooth muscle cell of the brain vasculature,smooth muscle cell of the brain vasculature,CL:0002590,
smooth muscle cell of the pulmonary artery,smooth muscle cell of the pulmonary artery,CL:0002591,
smooth muscle cell of the coronary artery,smooth muscle cell of the coronary artery,CL:0002592,
smooth muscle cell of the internal thoracic artery,smooth muscle cell of the internal thoracic artery,CL:0002593,
smooth muscle cell of the umbilical artery,smooth muscle cell of the umbilical artery,CL:0002594,
smooth muscle cell of the subclavian artery,smooth muscle cell of the subclavian artery,CL:0002595,
smooth muscle cell of the carotid artery,smooth muscle cell of the carotid artery,CL:0002596,
smooth muscle cell of bladder,smooth muscle cell of bladder,CL:0002597,
bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,
smooth muscle cell of the esophagus,smooth muscle cell of the esophagus,CL:0002599,
smooth muscle cell of trachea,smooth muscle cell of trachea,CL:0002600,
uterine smooth muscle cell,uterine smooth muscle cell,CL:0002601,
annulus pulposus cell,annulus pulposus cell,CL:0002602,
astrocyte of the cerebellum,astrocyte of the cerebellum,CL:0002603,
hippocampal astrocyte,hippocampal astrocyte,CL:0002604,
astrocyte of the cerebral cortex,astrocyte of the cerebral cortex,CL:0002605,
astrocyte of the spinal cord,astrocyte of the spinal cord,CL:0002606,
migratory enteric neural crest cell,migratory enteric neural crest cell,CL:0002607,
hippocampal neuron,hippocampal neuron,CL:0002608,
raphe nuclei neuron,raphe nuclei neuron,CL:0002610,
neuron of the dorsal spinal cord,neuron of the dorsal spinal cord,CL:0002611,
neuron of the ventral spinal cord,neuron of the ventral spinal cord,CL:0002612,
striatum neuron,striatum neuron,CL:0002613,
neuron of the substantia nigra,neuron of the substantia nigra,CL:0002614,
adipocyte of omentum tissue,adipocyte of omentum tissue,CL:0002615,
perirenal adipocyte,perirenal adipocyte,CL:0002616,
adipocyte of breast,adipocyte of breast,CL:0002617,
endothelial cell of umbilical vein,endothelial cell of umbilical vein,CL:0002618,
adult endothelial progenitor cell,adult endothelial progenitor cell,CL:0002619,
skin fibroblast,skin fibroblast,CL:0002620,
gingival epithelial cell,gingival epithelial cell,CL:0002621,
prostate stromal cell,prostate stromal cell,CL:0002622,
acinar cell of salivary gland,acinar cell of salivary gland,CL:0002623,
paneth cell of the appendix,paneth cell of the appendix,CL:0002624,
seminiferous tubule epithelial cell,seminiferous tubule epithelial cell,CL:0002625,
immature astrocyte,immature astrocyte,CL:0002626,
mature astrocyte,mature astrocyte,CL:0002627,
immature microglial cell,immature microglial cell,CL:0002628,
mature microglial cell,mature microglial cell,CL:0002629,
actinomycete-type spore,actinomycete-type spore,CL:0002630,
epithelial cell of upper respiratory tract,epithelial cell of upper respiratory tract,CL:0002631,
epithelial cell of lower respiratory tract,epithelial cell of lower respiratory tract,CL:0002632,
respiratory basal cell,respiratory basal cell,CL:0002633,
epithelial cell of anal column,epithelial cell of anal column,CL:0002634,
nonkeratinized epithelial cell of anal column,nonkeratinized epithelial cell of anal column,CL:0002635,
nonkeratinized epithelial cell of inferior part of anal canal,nonkeratinized epithelial cell of inferior part of anal canal,CL:0002636,
keratinized epithelial cell of the anal canal,keratinized epithelial cell of the anal canal,CL:0002637,
bronchioalveolar stem cell,bronchioalveolar stem cell,CL:0002638,
amniotic stem cell,amniotic stem cell,CL:0002639,
amniotic epithelial stem cell,amniotic epithelial stem cell,CL:0002640,
epithelial cell of esophageal gland proper,epithelial cell of esophageal gland proper,CL:0002641,
epithelial cell of esophageal cardiac gland,epithelial cell of esophageal cardiac gland,CL:0002642,
nonkeratinized cell of stratum corneum of esophageal epithelium,nonkeratinized cell of stratum corneum of esophageal epithelium,CL:0002643,
endo-epithelial cell of tympanic part of viscerocranial mucosa,endo-epithelial cell of tympanic part of viscerocranial mucosa,CL:0002644,
endo-epithelial cell of pharyngotympanic part of viscerocranial mucosa,endo-epithelial cell of pharyngotympanic part of viscerocranial mucosa,CL:0002645,
endothelial cell of venous sinus of spleen,endothelial cell of venous sinus of spleen,CL:0002651,
endothelial cell of high endothelial venule,endothelial cell of high endothelial venule,CL:0002652,
squamous endothelial cell,squamous endothelial cell,CL:0002653,
epithelial cell of stratum corneum of esophageal epithelium,epithelial cell of stratum corneum of esophageal epithelium,CL:0002654,
epithelial cell of stratum spinosum of esophageal epithelium,epithelial cell of stratum spinosum of esophageal epithelium,CL:0002655,
glandular cell of endometrium,glandular cell of endometrium,CL:0002656,
glandular cell of esophagus,glandular cell of esophagus,CL:0002657,
glandular cell of the large intestine,glandular cell of the large intestine,CL:0002658,
glandular cell of stomach,glandular cell of stomach,CL:0002659,
luminal cell of acinus of lactiferous gland,luminal cell of acinus of lactiferous gland,CL:0002660,
luminal cell of lactiferous terminal ductal lobular unit,luminal cell of lactiferous terminal ductal lobular unit,CL:0002661,
luminal cell of lactiferous duct,luminal cell of lactiferous duct,CL:0002662,
broad diffuse amacrine cell,broad diffuse amacrine cell,CL:0004228,
A2-like amacrine cell,A2-like amacrine cell,CL:0004229,
diffuse bistratified amacrine cell,diffuse bistratified amacrine cell,CL:0004230,
recurving diffuse amacrine cell,recurving diffuse amacrine cell,CL:0004231,
starburst amacrine cell,starburst amacrine cell,CL:0004232,
DAPI-3 amacrine cell,DAPI-3 amacrine cell,CL:0004233,
diffuse multistratified amacrine cell,diffuse multistratified amacrine cell,CL:0004234,
AB broad diffuse-1 amacrine cell,AB broad diffuse-1 amacrine cell,CL:0004235,
AB broad diffuse-2 amacrine cell,AB broad diffuse-2 amacrine cell,CL:0004236,
fountain amacrine cell,fountain amacrine cell,CL:0004237,
asymmetric bistratified amacrine cell,asymmetric bistratified amacrine cell,CL:0004238,
wavy bistratified amacrine cell,wavy bistratified amacrine cell,CL:0004239,
WF1 amacrine cell,WF1 amacrine cell,CL:0004240,
WF2 amacrine cell,WF2 amacrine cell,CL:0004241,
WF3-1 amacrine cell,WF3-1 amacrine cell,CL:0004242,
WF3-2 amacrine cell,WF3-2 amacrine cell,CL:0004243,
WF4 amacrine cell,WF4 amacrine cell,CL:0004244,
indoleamine-accumulating amacrine cell,indoleamine-accumulating amacrine cell,CL:0004245,
monostratified cell,monostratified cell,CL:0004246,
bistratified cell,bistratified cell,CL:0004247,
bistratified retinal amacrine cell,bistratified retinal amacrine cell,CL:0004250,
narrow field retinal amacrine cell,narrow field retinal amacrine cell,CL:0004251,
medium field retinal amacrine cell,medium field retinal amacrine cell,CL:0004252,
wide field retinal amacrine cell,wide field retinal amacrine cell,CL:0004253,
spinal cord interneuron,spinal cord interneuron,CL:0005000,
iridoblast,iridoblast,CL:0005001,
xanthoblast,xanthoblast,CL:0005002,
leucoblast,leucoblast,CL:0005003,
pigment erythroblast,pigment erythroblast,CL:0005004,
cyanoblast,cyanoblast,CL:0005005,
ionocyte,ionocyte,CL:0005006,
Kolmer-Agduhr neuron,Kolmer-Agduhr neuron,CL:0005007,
macular hair cell,macular hair cell,CL:0005008,
renal principal cell,renal principal cell,CL:0005009,
renal intercalated cell,renal intercalated cell,CL:0005010,
renal alpha-intercalated cell,renal alpha-intercalated cell,CL:0005011,
multi-ciliated epithelial cell,multi-ciliated epithelial cell,CL:0005012,
single ciliated epithelial cell,single ciliated epithelial cell,CL:0005013,
auditory epithelial supporting cell,auditory epithelial supporting cell,CL:0005014,
inner phalangeal cell,inner phalangeal cell,CL:0005015,
ghrelin secreting cell,ghrelin secreting cell,CL:0005018,
pancreatic epsilon cell,pancreatic epsilon cell,CL:0005019,
lymphangioblast,lymphangioblast,CL:0005020,
mesenchymal lymphangioblast,mesenchymal lymphangioblast,CL:0005021,
vascular lymphangioblast,vascular lymphangioblast,CL:0005022,
branchiomotor neuron,branchiomotor neuron,CL:0005023,
somatomotor neuron,somatomotor neuron,CL:0005024,
visceromotor neuron,visceromotor neuron,CL:0005025,
hepatoblast,hepatoblast,CL:0005026,
preameloblast,preameloblast,CL:0007000,
skeletogenic cell,skeletogenic cell,CL:0007001,
precementoblast,precementoblast,CL:0007002,
preodontoblast,preodontoblast,CL:0007003,
premigratory neural crest cell,premigratory neural crest cell,CL:0007004,
notochordal cell,notochordal cell,CL:0007005,
chordamesodermal cell,chordamesodermal cell,CL:0007006,
notochordal sheath cell,notochordal sheath cell,CL:0007007,
notochordal vacuole cell,notochordal vacuole cell,CL:0007008,
prechondroblast,prechondroblast,CL:0007009,
preosteoblast,preosteoblast,CL:0007010,
enteric neuron,enteric neuron,CL:0007011,
non-terminally differentiated odontoblast,non-terminally differentiated odontoblast,CL:0007012,
terminally differentiated odontoblast,terminally differentiated odontoblast,CL:0007013,
adaxial cell,adaxial cell,CL:0007016,
Stiftchenzellen,Stiftchenzellen,CL:0007017,
epidermal ciliary cell,epidermal ciliary cell,CL:0007018,
epidermal mucus secreting cell,epidermal mucus secreting cell,CL:0007019,
bottle cell,bottle cell,CL:0007020,
alarm substance cell,alarm substance cell,CL:0007021,
micropylar cell,micropylar cell,CL:0007022,
flask cell,flask cell,CL:0007023,
non-striated muscle cell,non-striated muscle cell,CL:0008000,
hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,
skeletal muscle fiber,skeletal muscle fiber,CL:0008002,
somatic muscle myotube,somatic muscle myotube,CL:0008003,
somatic muscle cell,somatic muscle cell,CL:0008004,
obliquely striated somatic muscle cell,obliquely striated somatic muscle cell,CL:0008005,
muscle founder cell,muscle founder cell,CL:0008006,
visceral muscle cell,visceral muscle cell,CL:0008007,
striated visceral muscle cell,striated visceral muscle cell,CL:0008008,
transversely striated visceral muscle cell,transversely striated visceral muscle cell,CL:0008009,
cranial somatomotor neuron,cranial somatomotor neuron,CL:0008010,
skeletal muscle satellite stem cell,skeletal muscle satellite stem cell,CL:0008011,
quiescent skeletal muscle satellite cell,quiescent skeletal muscle satellite cell,CL:0008012,
cranial visceromotor neuron,cranial visceromotor neuron,CL:0008013,
inhibitory motor neuron,inhibitory motor neuron,CL:0008015,
activated skeletal muscle satellite cell,activated skeletal muscle satellite cell,CL:0008016,
adult skeletal muscle myoblast,adult skeletal muscle myoblast,CL:0008017,
somatic muscle myoblast,somatic muscle myoblast,CL:0008018,
mesenchymal cell,mesenchymal cell,CL:0008019,
skeletal muscle satellite myogenic cell,skeletal muscle satellite myogenic cell,CL:0008020,
anterior lateral line ganglion neuron,anterior lateral line ganglion neuron,CL:0008021,
endocardial cushion cell,endocardial cushion cell,CL:0008022,
pancreatic endocrine cell,pancreatic endocrine cell,CL:0008024,
noradrenergic neuron,noradrenergic neuron,CL:0008025,
open tracheal system tracheocyte,open tracheal system tracheocyte,CL:0008026,
rod bipolar cell (sensu Mus),rod bipolar cell (sensu Mus),CL:0008027,
visual system neuron,visual system neuron,CL:0008028,
cortical interneuron,cortical interneuron,CL:0008031,
rosehip neuron,rosehip neuron,CL:0008032,
myocardial endocrine cell of atrium,myocardial endocrine cell of atrium,CL:0002663,
cardioblast,cardioblast,CL:0002664,
otic fibrocyte,otic fibrocyte,CL:0002665,
type 2 otic fibrocyte,type 2 otic fibrocyte,CL:0002666,
type 5 otic fibrocyte,type 5 otic fibrocyte,CL:0002667,
type 4 otic fibrocyte,type 4 otic fibrocyte,CL:0002668,
type 3 otic fibrocyte,type 3 otic fibrocyte,CL:0002669,
type 1 otic fibrocyte,type 1 otic fibrocyte,CL:0002670,
endothelial stalk cell,endothelial stalk cell,CL:0002671,
retinal progenitor cell,retinal progenitor cell,CL:0002672,
tongue muscle cell,tongue muscle cell,CL:0002673,
H minus,H minus,CL:0002674,
H plus,H plus,CL:0002675,
neural crest derived neuroblast,neural crest derived neuroblast,CL:0002676,
naive regulatory T cell,naive regulatory T cell,CL:0002677,
memory regulatory T cell,memory regulatory T cell,CL:0002678,
natural helper lymphocyte,natural helper lymphocyte,CL:0002679,
PP cell of intestine,PP cell of intestine,CL:0002680,
kidney cortical cell,kidney cortical cell,CL:0002681,
bistratified retinal ganglion cell,bistratified retinal ganglion cell,CL:0003001,
G1 retinal ganglion cell,G1 retinal ganglion cell,CL:0003002,
G2 retinal ganglion cell,G2 retinal ganglion cell,CL:0003003,
G3 retinal ganglion cell,G3 retinal ganglion cell,CL:0003004,
G4 retinal ganglion cell,G4 retinal ganglion cell,CL:0003005,
G4-ON retinal ganglion cell,G4-ON retinal ganglion cell,CL:0003006,
G4-OFF retinal ganglion cell,G4-OFF retinal ganglion cell,CL:0003007,
G5 retinal ganglion cell,G5 retinal ganglion cell,CL:0003008,
G6 retinal ganglion cell,G6 retinal ganglion cell,CL:0003009,
G7 retinal ganglion cell,G7 retinal ganglion cell,CL:0003010,
G8 retinal ganglion cell,G8 retinal ganglion cell,CL:0003011,
G9 retinal ganglion cell,G9 retinal ganglion cell,CL:0003012,
G10 retinal ganglion cell,G10 retinal ganglion cell,CL:0003013,
G11 retinal ganglion cell,G11 retinal ganglion cell,CL:0003014,
G11-ON retinal ganglion cell,G11-ON retinal ganglion cell,CL:0003015,
G11-OFF retinal ganglion cell,G11-OFF retinal ganglion cell,CL:0003016,
retinal ganglion cell B3 outer,retinal ganglion cell B3 outer,CL:0003017,
retinal ganglion cell B3 inner,retinal ganglion cell B3 inner,CL:0003018,
retinal ganglion cell C outer,retinal ganglion cell C outer,CL:0003020,
retinal ganglion cell C4,retinal ganglion cell C4,CL:0003021,
retinal ganglion cell C5,retinal ganglion cell C5,CL:0003022,
retinal ganglion cell C6,retinal ganglion cell C6,CL:0003023,
retinal ganglion cell C inner,retinal ganglion cell C inner,CL:0003024,
retinal ganglion cell C3,retinal ganglion cell C3,CL:0003025,
retinal ganglion cell D1,retinal ganglion cell D1,CL:0003026,
retinal ganglion cell D2,retinal ganglion cell D2,CL:0003027,
M1 retinal ganglion cell,M1 retinal ganglion cell,CL:0003028,
M2 retinal ganglion cell,M2 retinal ganglion cell,CL:0003029,
M3 retinal ganglion cell,M3 retinal ganglion cell,CL:0003030,
M3-ON retinal ganglion cell,M3-ON retinal ganglion cell,CL:0003031,
M3-OFF retinal ganglion cell,M3-OFF retinal ganglion cell,CL:0003032,
M4 retinal ganglion cell,M4 retinal ganglion cell,CL:0003033,
M5 retinal ganglion cell,M5 retinal ganglion cell,CL:0003034,
M6 retinal ganglion cell,M6 retinal ganglion cell,CL:0003035,
M7 retinal ganglion cell,M7 retinal ganglion cell,CL:0003036,
M7-ON retinal ganglion cell,M7-ON retinal ganglion cell,CL:0003037,
M7-OFF retinal ganglion cell,M7-OFF retinal ganglion cell,CL:0003038,
M8 retinal ganglion cell,M8 retinal ganglion cell,CL:0003039,
M9 retinal ganglion cell,M9 retinal ganglion cell,CL:0003040,
M9-ON retinal ganglion cell,M9-ON retinal ganglion cell,CL:0003041,
M9-OFF retinal ganglion cell,M9-OFF retinal ganglion cell,CL:0003042,
M10 retinal ganglion cell,M10 retinal ganglion cell,CL:0003043,
M11 retinal ganglion cell,M11 retinal ganglion cell,CL:0003044,
M12 retinal ganglion cell,M12 retinal ganglion cell,CL:0003045,
M13 retinal ganglion cell,M13 retinal ganglion cell,CL:0003046,
M14 retinal ganglion cell,M14 retinal ganglion cell,CL:0003047,
L cone cell,L cone cell,CL:0003048,
M cone cell,M cone cell,CL:0003049,
S cone cell,S cone cell,CL:0003050,
UV cone cell,UV cone cell,CL:0003051,
local interneuron,local interneuron,CL:0004001,
retinal ganglion cell B,retinal ganglion cell B,CL:0004115,
retinal ganglion cell C,retinal ganglion cell C,CL:0004116,
retinal ganglion cell A,retinal ganglion cell A,CL:0004117,
retinal ganglion cell B1,retinal ganglion cell B1,CL:0004119,
retinal ganglion cell A1,retinal ganglion cell A1,CL:0004120,
retinal ganglion cell B2,retinal ganglion cell B2,CL:0004121,
retinal ganglion cell C1,retinal ganglion cell C1,CL:0004124,
retinal ganglion cell C2 inner,retinal ganglion cell C2 inner,CL:0004125,
retinal ganglion cell C2 outer,retinal ganglion cell C2 outer,CL:0004126,
retinal ganglion cell A2 inner,retinal ganglion cell A2 inner,CL:0004137,
retinal ganglion cell A2,retinal ganglion cell A2,CL:0004138,
retinal ganglion cell A2 outer,retinal ganglion cell A2 outer,CL:0004139,
510 nm-cone,510 nm-cone,CL:0004161,
360 nm-cone,360 nm-cone,CL:0004162,
retinal ganglion cell B3,retinal ganglion cell B3,CL:0004183,
type 3a cone bipolar cell,type 3a cone bipolar cell,CL:0004213,
type 3b cone bipolar cell,type 3b cone bipolar cell,CL:0004214,
type 5a cone bipolar cell,type 5a cone bipolar cell,CL:0004215,
type 5b cone bipolar cell,type 5b cone bipolar cell,CL:0004216,
H1 horizontal cell,H1 horizontal cell,CL:0004217,
H2 horizontal cell,H2 horizontal cell,CL:0004218,
A2 amacrine cell,A2 amacrine cell,CL:0004219,
flag amacrine cell,flag amacrine cell,CL:0004220,
flag A amacrine cell,flag A amacrine cell,CL:0004221,
flag B amacrine cell,flag B amacrine cell,CL:0004222,
AB diffuse-1 amacrine cell,AB diffuse-1 amacrine cell,CL:0004223,
AB diffuse-2 amacrine cell,AB diffuse-2 amacrine cell,CL:0004224,
spider amacrine cell,spider amacrine cell,CL:0004225,
monostratified amacrine cell,monostratified amacrine cell,CL:0004226,
flat bistratified amacrine cell,flat bistratified amacrine cell,CL:0004227,
decidual pericyte,decidual pericyte,CL:0008033,
mural cell,mural cell,CL:0008034,
microcirculation associated smooth muscle cell,microcirculation associated smooth muscle cell,CL:0008035,
extravillous trophoblast,extravillous trophoblast,CL:0008036,
gamma motor neuron,gamma motor neuron,CL:0008037,
alpha motor neuron,alpha motor neuron,CL:0008038,
lower motor neuron,lower motor neuron,CL:0008039,
extrafusal muscle fiber,extrafusal muscle fiber,CL:0008046,
intrafusal muscle fiber,intrafusal muscle fiber,CL:0008047,
upper motor neuron,upper motor neuron,CL:0008048,
Betz cell,Betz cell,CL:0008049,
sensory neuron of spinal nerve,sensory neuron of spinal nerve,CL:0009000,
compound eye retinal cell,compound eye retinal cell,CL:0009001,
inflammatory cell,inflammatory cell,CL:0009002,
larval midgut cell,larval midgut cell,CL:0009003,
retinal cell,retinal cell,CL:0009004,
salivary gland cell,salivary gland cell,CL:0009005,
enteroendocrine cell of small intestine,enteroendocrine cell of small intestine,CL:0009006,
gastrointestinal tract (lamina propria) macrophage of small intestine,gastrointestinal tract (lamina propria) macrophage of small intestine,CL:0009007,
gastrointestinal tract (lamina propria) macrophage of large intestine,gastrointestinal tract (lamina propria) macrophage of large intestine,CL:0009008,
paneth cell of colon,paneth cell of colon,CL:0009009,
transit amplifying cell,transit amplifying cell,CL:0009010,
transit amplifying cell of colon,transit amplifying cell of colon,CL:0009011,
transit amplifying cell of small intestine,transit amplifying cell of small intestine,CL:0009012,
fetal hepatobiliary progenitor cell,fetal hepatobiliary progenitor cell,CL:0009013,
Peyer's patch lymphocyte,Peyer's patch lymphocyte,CL:0009014,
Peyer's patch follicular dendritic cell,Peyer's patch follicular dendritic cell,CL:0009015,
intestinal crypt stem cell of large intestine,intestinal crypt stem cell of large intestine,CL:0009016,
intestinal crypt stem cell of small intestine,intestinal crypt stem cell of small intestine,CL:0009017,
lymphocyte of large intestine lamina propria,lymphocyte of large intestine lamina propria,CL:0009018,
nephrogenic zone cell,nephrogenic zone cell,CL:0009019,
tuft cell of appendix,tuft cell of appendix,CL:0009020,
stromal cell of lamina propria of large intestine,stromal cell of lamina propria of large intestine,CL:0009021,
stromal cell of lamina propria of small intestine,stromal cell of lamina propria of small intestine,CL:0009022,
small intestine Peyer's patch T cell,small intestine Peyer's patch T cell,CL:0009023,
mesothelial cell of small intestine,mesothelial cell of small intestine,CL:0009024,
mesothelial cell of colon,mesothelial cell of colon,CL:0009025,
