Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,marker/1,marker/2,marker/3,marker/4,marker/5,marker/6,marker/7,marker/8,marker/9,marker/10
liver,UBERON:0002107,NK cells,CH:0000236,natural killer cell,CL:0000623,skos:exactMatch,KLRD1,KIR2DL4,AP000439.1,MSX1,EEF1A2,IL2RB,ESYT3,SAMD7,FFAR3,CTC-378H22.2
liver,UBERON:0002107,Neutrophils,CH:0000237,neutrophil,CL:0000775,skos:exactMatch,CMTM2,PTGS2,CXCR2,KRT23,S100P,PHOSPHO1,MNDA,LINC01068,LL0XNC01-7P3.1,ARC
liver,UBERON:0002107,Non-classical monocytes,CH:0000238,non-classical monocyte,CL:0000875,skos:exactMatch,MS4A7,FCGR3A,RHOC,FGD4,AIF1,LYPD2,LST1,SAMD4A,TIMP1,MT2A
liver,UBERON:0002107,Non-inflammatory macrophages,CH:0000239,alternatively activated macrophage,CL:0000890,skos:exactMatch,CD5L,AP000439.1,KCNJ10,VCAM1,MARCO,PKD2L1,GPR4,CSF2,ISL2,ADPGK-AS1
liver,UBERON:0002107,Pericentral hepatocytes,CH:0000240,centrilobular region hepatocyte,CL:0019029,skos:exactMatch,CYP3A4,ADH1B,ABCB4,MALAT1,ARHGEF28,CYP2E1,FMO3,ADH4,FTH1,SLCO1B3
liver,UBERON:0002107,Periportal LSECs,CH:0000241,endothelial cell of periportal hepatic sinusoid,CL:0019021,skos:exactMatch,SPARCL1,MGP,SHISA3,CLEC14A,AQP1,NTS,CTD-2035E11.4,GJA5,CDC42BPG,BEST4
liver,UBERON:0002107,Periportal hepatocytes,CH:0000242,periportal region hepatocyte,CL:0019026,skos:exactMatch,C3,CYP3A5,SAA2,APOA1,VTN,XIST,APOC1,PTPRCAP,WWOX,MAGI1
liver,UBERON:0002107,Plasma cells,CH:0000243,plasma cell,CL:0000786,skos:exactMatch,MZB1,TNFRSF17,DERL3,MIXL1,PYCR1,LINC00582,CRYBA4,TAS1R3,IGLL5,IGLL1
liver,UBERON:0002107,Portal endothelial cells,CH:0000244,endothelial cell of hepatic portal vein,CL:0009094,skos:exactMatch,LHX6,INMT,RSPO3,VAV3-AS1,KRT81,WNT2,AP000439.1,ZNF99,ISL2,KIR2DL4
liver,UBERON:0002107,Stellate cells,CH:0000245,hepatic stellate cell,CL:0000632,skos:exactMatch,RBMS3-AS3,ADAMTSL1,TEKT4,HGF,PCDHGB6,CNIH2,AMHR2,EDA2R,NTS,CD300LG
liver,UBERON:0002107,Tem/Temra cytotoxic T cells,CH:0000246,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,skos:exactMatch,NKG7,GNLY,GZMH,CD3D,IL7R,KLF2,KLRD1,CES1,ITGB1,CD3G
liver,UBERON:0002107,Tem/Trm cytotoxic T cells,CH:0000247,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,GZMK,CCL5,CMC1,MAB21L3,THY1,CST7,IL32,CCL4,RGS1,RPL41
liver,UBERON:0002107,pDC,CH:0000248,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch,SCT,LILRA4,LRRC26,MAP1A,PTCRA,TCL1A,PACSIN1,KCNK17,LCNL1,PPM1J
lung,UBERON:0002048,AT1,CH:0000249,type I pneumocyte,CL:0002062,skos:exactMatch,CEACAM6,ITLN2,ZBED2,BDNF,MSLN,SCEL,GPRC5A,DEFB4A,SLC5A7,HSPB3
lung,UBERON:0002048,AT2,CH:0000250,type II pneumocyte,CL:0002063,skos:exactMatch,NAPSA,SFTPB,SFTPD,CHP2,SFTA2,MUC1,DMBT1,WIF1,SFTPC,SFTPA1
lung,UBERON:0002048,Adventitial fibroblasts,CH:0000251,alveolar type 2 fibroblast cell,CL:4028006,skos:exactMatch,DCN,FBLN1,ANGPTL7,LUM,FTH1,SPIC,CST5,C3,CFD,MGP
lung,UBERON:0002048,Alveolar fibroblasts,CH:0000252,alveolar type 1 fibroblast cell,CL:4028004,skos:exactMatch,ADH1B,TCF21,WNT2,INSC,SLC30A2,PPP1R14A,OTUD6A,FOXP3,CITED1,C19orf84
lung,UBERON:0002048,Alveolar macrophages,CH:0000253,alveolar macrophage,CL:0000583,skos:exactMatch,CTSD,APOC1,FTH1,FABP4,HLA-DRA,C1QA,FTL,LSAMP,CD74,C1QB
lung,UBERON:0002048,Arterial endothelial cells,CH:0000254,endothelial cell of artery,CL:1000413,skos:exactMatch,DKK2,IGFBP3,CLDN10,CXCL12,BMX,SERPINE2,ANKRD1,GJA5,C19orf84,GATA5
lung,UBERON:0002048,Basal cells,CH:0000255,basal cell,CL:0000646,skos:exactMatch,KRT17,S100A2,KRT15,SLCO4A1-AS1,BPIFB2,KLK8,GRIA2,FAM53B-AS1,RAET1L,LINC01224
lung,UBERON:0002048,CD16+ NK cells,CH:0000256,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch,B2M,GNLY,MALAT1,IGFBP7,FCGR3A,MYOM2,AKR1C3,SFTPC,KLRB1,GZMB
lung,UBERON:0002048,CD16- NK cells,CH:0000257,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch,TYROBP,LDB2,CCL3,GSTP1,CMC1,ADGRG3,KLRF1,NKG7,XCL1,FAM53B-AS1
lung,UBERON:0002048,Capillary aerocytes,CH:0000258,alveolar capillary type 2 endothelial cell,CL:4028003,skos:exactMatch,SOSTDC1,EDNRB,EMCN,EDNRB-AS1,IL1RL1,CLDN5,HPGD,SLITRK2,OXGR1,RAMP2
lung,UBERON:0002048,Capillary endothelial cells,CH:0000259,capillary endothelial cell,CL:0002144,skos:exactMatch,FCN3,CA4,RGCC,AKAP12,NOSTRIN,GPIHBP1,IL7R,VWF,IFI27,EDN1
lung,UBERON:0002048,Ciliated cells,CH:0000260,lung ciliated cell,CL:1000271,skos:exactMatch,FAM216B,ANKRD66,TSPAN19,C11orf97,MORN5,CFAP73,ERICH3,C6orf118,DYDC2,C2orf73
lung,UBERON:0002048,Classical monocytes,CH:0000261,classical monocyte,CL:0000860,skos:exactMatch,S100A9,S100A12,SAT1,CST3,DLX5,NKG7,FTL,CCL3,SIPA1L1,JARID2
lung,UBERON:0002048,Club cells,CH:0000262,club cell,CL:0000158,skos:exactMatch,SCGB3A2,SFTPB,SCGB1A1,SCGB3A1,MGP,CYB5A,CRISP3,PIGR,CPA5,C19orf84
lung,UBERON:0002048,Cycling NK,CH:0000263,natural killer cell,CL:0000623,skos:narrowMatch,CCL11,OXGR1,CPA5,HOXA-AS3,SYNGR3,CYP24A1,PI15,ANKRD1,ELFN1-AS1,XCR1
lung,UBERON:0002048,Cycling T,CH:0000264,T cell,CL:0000084,skos:narrowMatch,PAGE5,IL13,CD177,HOXA-AS3,XAGE2,SLC38A11,TNNT2,IL13RA2,NFIA-AS2,SLC30A2
lung,UBERON:0002048,Cycling macrophages,CH:0000265,macrophage,CL:0000235,skos:narrowMatch,TK1,PI15,DLX2,NOS2,OXGR1,CYP24A1,SIGLEC8,MIR202HG,CD177,TRIM31
lung,UBERON:0002048,DC1,CH:0000266,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,CLEC9A,XCR1,CPA5,PPY,C1orf54,FOXP3,OVCH2,PI15,ZBED2,EDNRB-AS1
lung,UBERON:0002048,DC2,CH:0000267,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,PMCH,C19orf84,CLEC10A,CPA5,XAGE2,OXGR1,NAPSA,PADI3,SLC5A7,FOXL1
lung,UBERON:0002048,Erythrocytes,CH:0000268,erythrocyte,CL:0000232,skos:exactMatch,ALAS2,CA1,MIR202HG,OXGR1,GCM1,FOXP3,TPSG1,FOXL1,PPP1R17,HOXA-AS3
lung,UBERON:0002048,Fibromyocytes,CH:0000269,fibroblast,CL:0000057,skos:narrowMatch,CDH2,CST5,INSC,IL13RA2,SCX,LCNL1,GATA5,TPSG1,HAGLROS,MIR202HG
lung,UBERON:0002048,Follicular helper T cells,CH:0000270,T follicular helper cell,CL:0002038,skos:exactMatch,CH25H,ICOS,FAM53B-AS1,OXGR1,TMEM26,MIR202HG,PAGE5,CPA5,ADRA1D,TPSG1
lung,UBERON:0002048,Goblet cells,CH:0000271,goblet cell,CL:0000160,skos:exactMatch,MSMB,CHST9,FOXP3,OVCH2,MIR202HG,LHX9,SLC38A11,LINC01139,SPIC,CPA5
lung,UBERON:0002048,Intermediate macrophages,CH:0000272,macrophage,CL:0000235,skos:narrowMatch,RPS8,MALAT1,SH3BGRL3,CRISP3,MIR202HG,DAPK1,LCNL1,CPA5,TRIM31,KISS1R
lung,UBERON:0002048,Ionocytes,CH:0000273,ionocyte,CL:0005006,skos:exactMatch,PI15,HOXA-AS3,CPA5,IL13,UGT2B17,XCR1,FAM53B-AS1,PPP1R17,LINC01013,ELFN1-AS1
lung,UBERON:0002048,Lipofibroblasts,CH:0000274,alveolar type 1 fibroblast cell,CL:4028004,skos:narrowMatch,PI15,PRSS35,SIGLEC8,GPR20,FOXP3,ITLN2,MIR202HG,SCN3A,SLC30A2,HOXA-AS3
lung,UBERON:0002048,Lymphatic endothelial cells,CH:0000275,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,CCL21,GPR182,PROX1,NTS,HOXD9,MMRN1,TFF3,HOXD8,ACKR2,OXGR1
lung,UBERON:0002048,Macrophages,CH:0000276,macrophage,CL:0000235,skos:exactMatch,SCHLAP1,FTL,SAT1,A2M,CCL3,NEAT1,CCSER1,CHIT1,RPL39,MIR202HG
lung,UBERON:0002048,Mast cells,CH:0000277,mast cell,CL:0000097,skos:exactMatch,TPSD1,CPA3,TPSB2,HDC,TPSAB1,AMHR2,SIGLEC6,KIT,GCSAML,HPGDS
lung,UBERON:0002048,Memory B cells,CH:0000278,memory B cell,CL:0000787,skos:exactMatch,CD74,TNFRSF13B,MS4A1,HLA-DRA,AIM2,NFIA-AS2,MIR202HG,CD79A,TNFSF18,XAGE2
lung,UBERON:0002048,Mesothelial cells,CH:0000279,mesothelial cell,CL:0000077,skos:exactMatch,IL13RA2,CPA5,TPSG1,TMEM240,ADCYAP1,FAM53B-AS1,KCNK12,FOXP3,LINC01484,ADRA1D
lung,UBERON:0002048,Migratory DCs,CH:0000280,"dendritic cell, human",CL:0001056,skos:narrowMatch,NCCRP1,CCL19,LAMP3,PI15,SIGLEC8,LINC00158,CPA5,CCL22,MIR202HG,SPIC
lung,UBERON:0002048,Myofibroblasts,CH:0000281,myofibroblast cell,CL:0000186,skos:exactMatch,ASPN,KCNK17,CTHRC1,LCNL1,TUBB3,INSC,IL13,DHH,SPIC,MIR202HG
lung,UBERON:0002048,Naive B cells,CH:0000282,naive B cell,CL:0000788,skos:exactMatch,TCL1A,IL4R,PI15,OXGR1,GCM1,FAM53B-AS1,SLC38A11,FCER2,C19orf84,TPSG1
lung,UBERON:0002048,Non-classical monocytes,CH:0000283,non-classical monocyte,CL:0000875,skos:exactMatch,HES4,FCGR3A,IFITM3,COTL1,CD52,CPA5,ANGPTL7,ELFN1-AS1,OVCH2,LINC01013
lung,UBERON:0002048,Pericytes,CH:0000284,pericyte,CL:0000669,skos:exactMatch,PTN,LAMC3,MATN3,KCNK17,COX4I2,INSC,CCK,SYNGR3,HIGD1B,DLX2
lung,UBERON:0002048,Plasma cells,CH:0000285,plasma cell,CL:0000786,skos:exactMatch,JCHAIN,MZB1,HBB,HBA1,HBA2,CLDN14,FAM53B-AS1,PLA2G2D,LINC01484,MIR202HG
lung,UBERON:0002048,Plasmablasts,CH:0000286,plasmablast,CL:0000980,skos:exactMatch,FAM53B-AS1,IL11,C19orf84,MIR202HG,CCR8,GCM1,IL13RA2,NFIA-AS2,SHCBP1,LMO7DN
lung,UBERON:0002048,Pulmonary SMC,CH:0000287,smooth muscle cell of the pulmonary artery,CL:0002591,skos:exactMatch,KCNA5,DES,TPM2,MYL9,CAV3,ACTG2,PI15,TAGLN,IGFBP7,PRPH
lung,UBERON:0002048,Pulmonary venous endothelial cells,CH:0000288,vein endothelial cell,CL:0002543,skos:narrowMatch,ACKR1,IGFBP7,CPE,C7,GPX3,IFITM3,MGP,OXGR1,HOXA-AS3,INSC
lung,UBERON:0002048,Regulatory T cells,CH:0000289,regulatory T cell,CL:0000815,skos:exactMatch,RTKN2,RGS1,FOXP3,MIR4435-2HG,CTLA4,CRIP1,IL2RA,MALAT1,EDN3,B2M
lung,UBERON:0002048,Suprabasal cells,CH:0000290,respiratory suprabasal cell,CL:4033048,skos:exactMatch,SERPINB3,CLCA2,IL13,S100A2,TPSG1,FAM53B-AS1,CPA5,MCIDAS,IL13RA2,NANOS1
lung,UBERON:0002048,Systemic venous endothelial cells,CH:0000291,vein endothelial cell,CL:0002543,skos:exactMatch,SPRY1,IGFBP7,ACKR1,PLVAP,SELE,COL15A1,ZNF385D,GNAZ,ADRA1D,FABP4
lung,UBERON:0002048,Tcm/Naive helper T cells,CH:0000292,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch,MALAT1,TSHZ2,EEF1A1,SARAF,B2M,IL6ST,CRIP1,TMSB10,MIR202HG,RPL39
lung,UBERON:0002048,Tem/Effector helper T cells,CH:0000293,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch,SCGB1A1,RPS17,S100A4,KLRB1,IL32,SFTPA2,SFTPC,RGCC,RPSA,RPS9
lung,UBERON:0002048,Tem/Temra cytotoxic T cells,CH:0000294,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,skos:exactMatch,NKG7,GNLY,CD3D,GZMH,IL32,CD52,KLRD1,SPTSSB,CST3,KLRG1
lung,UBERON:0002048,Tem/Trm cytotoxic T cells,CH:0000295,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,CCL5,GZMK,CST7,RPL41,CD8A,GZMA,RPS27,YBX3,NKG7,RPS2
lung,UBERON:0002048,Trm cytotoxic T cells,CH:0000296,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,CCL5,CD8A,CCL4,RPLP1,KLRD1,XCL1,SPRY1,ITGA1,CD8B,RPLP2
lung,UBERON:0002048,pDC,CH:0000297,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch,SCT,TCL1A,GAL,LCNL1,FAM53B-AS1,HOXA-AS3,CD177,C19orf84,FOXP3,TPSG1
lymph node,UBERON:0000029,Activated CD4 T cells,CH:0000298,"activated CD4-positive, alpha-beta T cell",CL:0000896,skos:exactMatch,MIR155HG,B2M,TMSB10,CISH,MC2R,GBP2,TNFRSF4,SPNS2,CYTIP,IL4R
lymph node,UBERON:0000029,Age-associated B cells,CH:0000299,memory B cell,CL:0000787,skos:narrowMatch,SOX5,EBI3,FCRL4,FCRL5,NTS,MIR3681HG,C5orf66,RUFY4,ITGAX,LCN6
lymph node,UBERON:0000029,BTAF1 high B cells,CH:0000300,B cell,CL:0000236,skos:narrowMatch,MS4A1,BANK1,LINC00926,NTS,ADAM28,IL22RA2,ADAMTS18,CLEC9A,ACKR1,RALGPS2
lymph node,UBERON:0000029,BTAF1 high T cells,CH:0000301,B cell,CL:0000236,skos:narrowMatch,MTRNR2L12,CD79A,HLA-DRA,IL7R,MT-CO1,IGLV3-19,LYVE1,LCN6,IGHV3OR16-13,DPF1
lymph node,UBERON:0000029,CD16+ NK cells,CH:0000302,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch,GNLY,FGFBP2,GZMB,RAMP1,GPR141,LCN6,NTS,BOK,FUT1,FCGR3A
lymph node,UBERON:0000029,CD16- NK cells,CH:0000303,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch,TYROBP,ADGRG3,CLIC3,FCER1G,KLRF1,LCN6,NTS,NKG7,CYP26A1,DNTT
lymph node,UBERON:0000029,Classical monocytes,CH:0000304,classical monocyte,CL:0000860,skos:exactMatch,CD300E,SERPINB2,GPR162,LCN6,NTS,NRG1,S100A12,ALOX15B,DACT3,GLDN
lymph node,UBERON:0000029,DC1,CH:0000305,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,CLEC9A,LGALS2,RAB7B,NTS,IDO1,LCN6,OSTN-AS1,C5orf66,XCR1,C6orf132
lymph node,UBERON:0000029,DC2,CH:0000306,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,CLEC10A,LGALS2,IL22RA2,CD207,NTS,CX3CR1,CD1E,LCN6,CDH17,OLFM1
lymph node,UBERON:0000029,Endothelial cells,CH:0000307,endothelial cell,CL:0000115,skos:exactMatch,ACKR1,FAM107A,IFI27,SPARCL1,LCN6,ADGRL4,SOX17,PALMD,CCL14,PLVAP
lymph node,UBERON:0000029,Erythrophagocytic macrophages,CH:0000308,macrophage,CL:0000235,skos:narrowMatch,CCL24,LCN6,IGSF21,CXCL1,C1QC,PLA2G2D,METTL7B,SIGLEC12,CSNK2A3,CABLES1
lymph node,UBERON:0000029,Follicular helper T cells,CH:0000309,T follicular helper cell,CL:0002038,skos:exactMatch,KLRB1,CH25H,IL7R,PASK,TIMP4,ACKR1,CXCR5,MAF,SOCS3,CDH17
lymph node,UBERON:0000029,Germinal center B cells,CH:0000310,germinal center B cell,CL:0000844,skos:exactMatch,AICDA,TUBB3,LCN6,NTS,SERPINA9,DHRS9,MIR3681HG,ENHO,RGS13,APOBEC3A
lymph node,UBERON:0000029,ILC,CH:0000311,innate lymphoid cell,CL:0001065,skos:exactMatch,KIT,ENPP1,PTH2,NTS,B3GALT5,CYP26C1,HOXD1,SCN1B,COL24A1,BCAS1
lymph node,UBERON:0000029,Lymphatic endothelial cells,CH:0000312,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,NTS,TAL1,RAMP3,NR2F1,LYVE1,TFF3,SEMA3A,HYAL1,FLNC,PEAR1
lymph node,UBERON:0000029,MAIT cells,CH:0000313,mucosal invariant T cell,CL:0000940,skos:exactMatch,SLC4A10,TRBV6-4,TRDV2,KLRB1,CEBPD,NTS,LCN6,TRAV1-2,ACKR1,ME1
lymph node,UBERON:0000029,Macrophages,CH:0000314,macrophage,CL:0000235,skos:exactMatch,TREM2,NTS,LILRB5,CATSPER1,LCN6,OTOA,LYVE1,FABP3,RARRES1,FGFR2
lymph node,UBERON:0000029,Mast cells,CH:0000315,mast cell,CL:0000097,skos:exactMatch,CPA3,MS4A2,HPGDS,IL1RL1,NTS,ADCYAP1,LCN6,HDC,TPSAB1,TPSD1
lymph node,UBERON:0000029,Memory B cells,CH:0000316,memory B cell,CL:0000787,skos:exactMatch,TNFRSF13B,SSPN,RPS14,MARCKS,RPLP1,SMIM14,CD70,AC104024.1,CD24,POU2AF1
lymph node,UBERON:0000029,Migratory DCs,CH:0000317,"dendritic cell, human",CL:0001056,skos:narrowMatch,LAD1,NCCRP1,NTS,LCN6,AOC1,CLEC4G,ACKR1,UBD,ICAM4,C5orf66
lymph node,UBERON:0000029,Naive B cells,CH:0000318,naive B cell,CL:0000788,skos:exactMatch,TCL1A,IGHD,FCER2,CD79A,YBX3,TMSB10,RPL18A,KCNG1,HVCN1,TCL1B
lymph node,UBERON:0000029,Non-classical monocytes,CH:0000319,non-classical monocyte,CL:0000875,skos:exactMatch,NTS,LCN6,C5orf66,THAP10,LIPN,ZMYND15,MEFV,DACT3,FGFR2,RAB7B
lymph node,UBERON:0000029,Plasma cells,CH:0000320,plasma cell,CL:0000786,skos:exactMatch,NTS,CEP55,ENHO,CD79A,C5orf66,CLDN14,PLA2G2D,ENAM,LCN6,GAS2L3
lymph node,UBERON:0000029,Plasmablasts,CH:0000321,plasmablast,CL:0000980,skos:exactMatch,RRM2,TXNDC5,NTS,SHCBP1,MYBL2,MKI67,TUBA3D,MZB1,LCN6,TRDV3
lymph node,UBERON:0000029,Regulatory T cells,CH:0000322,regulatory T cell,CL:0000815,skos:exactMatch,RGS1,FOXP3,CTLA4,IKZF2,IL2RA,RTKN2,CD300LG,IGHV3-38,FBXO17,CLEC4E
lymph node,UBERON:0000029,Tcm/Naive cytotoxic T cells,CH:0000323,"central memory CD8-positive, alpha-beta T cell",CL:0000907,skos:exactMatch,CD8B,CD8A,S100B,CD248,KLRK1,YBX3,CTSW,REG4,NELL2,PASK
lymph node,UBERON:0000029,Tcm/Naive helper T cells,CH:0000324,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch,TSHZ2,ITGAD,MS4A3,CCL5,CD52,GPRC5D,ANGPT1,FCRL4,KLF2,ADGRG3
lymph node,UBERON:0000029,Tem/Effector helper T cells,CH:0000325,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch,KLF2,LMNA,ANXA1,TNFRSF4,IL32,ALOX15B,LAD1,ITGB1,TNFAIP3,RGCC
lymph node,UBERON:0000029,Tem/Trm cytotoxic T cells,CH:0000326,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,CCL5,GZMK,CXCR2,IGSF21,CST7,CD8A,GZMA,RPL28,HLA-DPB1,CMC1
lymph node,UBERON:0000029,Trm cytotoxic T cells,CH:0000327,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch,CCL5,KLRD1,CD8A,XCL1,KAZN,NTS,CCL4,ME1,SPRY1,CLDN11
lymph node,UBERON:0000029,mLN Stroma (FMO2+),CH:0000328,stromal cell,CL:0000499,skos:narrowMatch,ABCA8,CXCL14,LCN6,PODN,LMO3,MYOC,LUM,SNAI2,DPT,CPB1
lymph node,UBERON:0000029,pDC,CH:0000329,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch,CLEC4C,PTCRA,NME8,LCN6,NTS,SCN9A,SCT,LRRC26,COL24A1,LINC01551
pancreas,UBERON:0001264,Acinar-mix,CH:0000330,pancreatic acinar cell,CL:0002064,skos:narrowMatch,CLPS,CPA2,PNLIPRP1,NEAT1,MEG3,LINGO1,LRP4,CELA3A,PNLIP,ZBTB16
pancreas,UBERON:0001264,Activated stellate cells,CH:0000331,pancreatic stellate cell,CL:0002410,skos:narrowMatch,LAMA2,SCN7A,TWIST2,FIBIN,NEGR1,C7,APOD,COL4A2,TSHZ2,CALD1
pancreas,UBERON:0001264,Alpha cells,CH:0000332,pancreatic A cell,CL:0000171,skos:exactMatch,CHGA,IRX2,GCG,PCDHA6,SCG5,KCNMB2,IFI6,RPS10,GC,ZNF572
pancreas,UBERON:0001264,Beta cells,CH:0000333,type B pancreatic cell,CL:0000169,skos:exactMatch,INS,TTR,GCG,FTH1,B2M,FTL,RPL41,ZNF385D,RASD1,TUBA1B
pancreas,UBERON:0001264,Delta cells,CH:0000334,pancreatic D cell,CL:0000173,skos:exactMatch,SST,RBP4,PCP4,LRFN5,MAP1B,PLSCR3,NKX6-2,IQSEC3,PKIB,F5
pancreas,UBERON:0001264,Ductal cells,CH:0000335,pancreatic ductal cell,CL:0002079,skos:exactMatch,CFTR,PKHD1,SLC4A4,NRP1,RPL36A,MAL,THBS2,E2F7,CTSE,SERPINA3
pancreas,UBERON:0001264,Endothelial cells,CH:0000336,endothelial cell,CL:0000115,skos:exactMatch,FLT1,ACVRL1,F2RL3,PCDH12,GIMAP6,ECSCR,CLEC14A,CD34,VWF,SIGLEC1
pancreas,UBERON:0001264,Gamma cells,CH:0000337,pancreatic PP cell,CL:0002275,skos:exactMatch,PPY,GPC5-AS1,BIVM-ERCC5,ACSM4,LST1,PRIMA1,TMEM253,CYP2W1,TWIST2,NTS
pancreas,UBERON:0001264,Idling acinar cells,CH:0000338,pancreatic acinar cell,CL:0002064,skos:narrowMatch,DCSTAMP,RPS10,HTR2B,NEUROD1,SERPINA4,VKORC1,RPL36A,KCNG1,HOXB7,GSTM5
pancreas,UBERON:0001264,MUC5B+ ductal cells,CH:0000339,pancreatic ductal cell,CL:0002079,skos:narrowMatch,TFF1,CRISP3,CLEC1A,ADAM33,IYD,ACSM4,SERPINA3,HAS2,NLGN3,AFM
pancreas,UBERON:0001264,Macrophages,CH:0000340,macrophage,CL:0000235,skos:exactMatch,FGD2,MS4A6A,FCGR1A,ITGA4,MYBL1,GPR171,FPR1,SCGB1D2,SLC1A3,SOX10
pancreas,UBERON:0001264,Quiescent stellate cells,CH:0000341,pancreatic stellate cell,CL:0002410,skos:narrowMatch,CETP,TEX26-AS1,CAMK2A,LINC00482,ACSM4,OLFML1,ITGA7,SLC22A3,FHL5,ACTA2
pancreas,UBERON:0001264,Secretory acinar cells,CH:0000342,pancreatic acinar cell,CL:0002064,skos:narrowMatch,PLA2G1B,CTRB1,CTRB2,XIST,CTRC,SYCN,TNFRSF4,COX4I2,REG1A,RPL6
pancreas,UBERON:0001264,Stressed beta cells,CH:0000343,type B pancreatic cell,CL:0000169,skos:narrowMatch,DDIT3,TRIB3,FXYD2,UBB,TMEM253,TERC,EIF1,KRT17,CCL22,RPS10
skeletal muscle,UBERON:0001134,Adipocytes,CH:0000344,adipocyte,CL:0000136,skos:exactMatch,MALAT1,IGF1,PTGDS,APOD,SPRR2F,CD244,TRPV6,GPX3,CXCL14,DPT
skeletal muscle,UBERON:0001134,Arterial endothelial cells,CH:0000345,endothelial cell of artery,CL:1000413,skos:exactMatch,LINC00840,DHH,CHRM3,IGFALS,RGL4,MACC1,TOX,C9orf24,HS6ST3,FCAR
skeletal muscle,UBERON:0001134,C1QA+ CD74+ macrophages,CH:0000346,macrophage,CL:0000235,skos:narrowMatch,CLEC4G,CD1C,DGAT2,VSIG4,CLEC9A,AIF1,CXCR3,VMO1,HLA-DOB,CYP2S1
skeletal muscle,UBERON:0001134,Capillary endothelial cells,CH:0000347,capillary endothelial cell,CL:0002144,skos:exactMatch,EGFL7,TMSB10,BTNL9,VWF,HLA-E,B2M,RAPGEF3,ADCY4,CXCL2,SHANK3
skeletal muscle,UBERON:0001134,Fast skeletal muscle,CH:0000348,fast muscle cell,CL:0000190,skos:exactMatch,MYH2,TNNT3,MALAT1,NEAT1,TPM1,ATP2A1,C11orf96,KCNQ2,TMIGD3,HCAR3
skeletal muscle,UBERON:0001134,Fibroblasts,CH:0000349,fibroblast,CL:0000057,skos:exactMatch,MTRNR2L8,MTRNR2L12,SPRR2F,LUM,MTRNR2L10,JUND,ACKR3,MYO3A,MARCKS,FMO2
skeletal muscle,UBERON:0001134,LRRK2+ fast skeletal muscle,CH:0000350,fast muscle cell,CL:0000190,skos:narrowMatch,MALAT1,DNAH11,COL19A1,EFCAB7,LRRK2,SLC7A6,NEAT1,CDKN1A,FST,CLVS2
skeletal muscle,UBERON:0001134,Late erythroid,CH:0000351,erythroid lineage cell,CL:0000764,skos:narrowMatch,FCAR,PDCD1,HBG2,PTPN5,RAP1GAP,SPRR2F,TNK1,CLVS2,TRGV9,FAM181B
skeletal muscle,UBERON:0001134,Lymphatic endothelial cells,CH:0000352,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,PKHD1L1,SEMA3A,ACE2,KCNA3,LILRA5,TNK1,PDCD1,RASL11B,FOXL1,FCAR
skeletal muscle,UBERON:0001134,Lymphoid/Macrophage,CH:0000353,macrophage,CL:0000235,skos:narrowMatch,STAB1,MS4A6A,FGF13-AS1,LILRB5,GNLY,S100A9,CD163,ARHGAP4,IL10RA,LINC00861
skeletal muscle,UBERON:0001134,Mast cells,CH:0000354,mast cell,CL:0000097,skos:exactMatch,MS4A2,HDC,EVPL,SLC18A2,RAB27B,ADAM11,LINC00565,CD40LG,FCAR,ZNF165
skeletal muscle,UBERON:0001134,Mesenchymal stem cells,CH:0000355,mesenchymal stem cell,CL:0000134,skos:exactMatch,DCN,MEG3,TNXB,COL6A3,GSN,ADH1B,COL6A1,LRRC4B,MFAP5,CALB2
